Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI,district_id,district_name,year
2024,2,Clark,2060.1,Thompson T ES,Regular,58.0,3,NO,61.9,60.1,15.1,YES,YES,NO,NO,NO,51.1,40,46.8,,,,,,,,19.9,NO,,NO,,NO,,64827,Churchill,2024
2024,2,Clark,2061.1,Abston ES,Regular,49.5,2,YES,52.6,44.7,13.7,YES,YES,NO,NO,NO,51.3,44.7,46.8,,,,,,,,26.3,NO,,NO,,NO,,64827,Churchill,2024
2024,2,Clark,2062.1,Jenkins ES,Regular,23.0,1,YES,42.5,37.4,5.6,YES,YES,NO,NO,NO,42.1,24.2,38.6,,,,,,,,25.4,NO,,NO,,NO,,64827,Churchill,2024
2024,2,Clark,2064.1,Ellis ES,Regular,78.0,4,NO,64.6,63.3,13.2,YES,YES,NO,NO,NO,59.6,57,44.4,,,,,,,,12.9,NO,,NO,,NO,,64827,Churchill,2024
2024,2,Clark,2065.1,Ortwein ES,Regular,52.0,3,NO,44.2,43.3,13,YES,YES,NO,NO,NO,42.8,49.5,54,,,,,,,,21.5,NO,,NO,,NO,,64827,Churchill,2024
2024,2,Clark,2066.1,Barber ES,Regular,63.5,3,YES,53.5,49.7,9.3,YES,YES,NO,NO,NO,57.5,54.9,41.4,,,,,,,,25.8,NO,,NO,,NO,,64827,Churchill,2024
2024,2,Clark,2067.1,Divich ES,Regular,66.5,3,NO,56.4,56.7,19.2,YES,YES,NO,NO,NO,55.9,55.9,29.4,,,,,,,,13.2,NO,,NO,,NO,,64827,Churchill,2024
2024,2,Clark,2068.1,Jones Blackhurst ES,Regular,60.0,3,NO,66.4,57.4,27.1,YES,YES,NO,NO,NO,56.8,40.8,34.7,,,,,,,,11.7,NO,,NO,,NO,,64827,Churchill,2024
2024,2,Clark,2069.1,Vassiliadis ES,Regular,92.0,5,NO,79.9,81.2,55.3,YES,YES,NO,NO,NO,75.2,67.2,62,,,,,,,,6.8,NO,,NO,,NO,,64827,Churchill,2024
2024,2,Clark,2070.1,Berkley ES,Regular,77.5,4,NO,59.8,52.7,22.3,YES,YES,NO,NO,NO,62.1,58,46.8,,,,,,,,16.5,NO,,NO,,NO,,64827,Churchill,2024
