Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI,district_id,district_name,year
2023,2,Clark,2316.2,Cannon JHS MS,Regular,34.5,2,YES,27.4,12.9,27.8,YES,YES,NO,NO,NO,31.1,17.8,30,86.8,,,,,,,34.2,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2317.2,Guinn MS,Regular,41.0,2,YES,42,28.6,31.8,YES,YES,NO,NO,NO,41.6,30.5,15.3,78.6,,,,,,,24,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2318.2,Garrett MS,Regular,59.44,3,NO,51.3,41.9,65.7,YES,YES,NO,NO,NO,47.8,43.9,,91.3,,,,,,,26.8,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2319.2,Brown JHS MS,Regular,33.5,2,YES,40.6,21.6,31.9,YES,YES,NO,NO,NO,39.3,21.6,20,>95,,,,,,,34.9,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2320.2,Sandy Valley JSHS MS,Regular,23.89,1,YES,24.2,17.1,26.9,YES,YES,NO,NO,NO,23.8,22.7,-,89.2,,,,,,,34.2,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2320.3,Sandy Valley JSHS HS,Regular,64.5,3,YES,41.1,14.7,22.2,YES,YES,NO,NO,NO,,,5.2,,90.4,83.3,38.8,41.1,>95,>95,27.8,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2321.2,Laughlin JSHS MS,Regular,40.56,2,YES,38.8,16.6,27.2,YES,YES,NO,NO,NO,39.7,17.8,-,78.6,,,,,,,35.5,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2321.3,Laughlin JSHS HS,Regular,39.0,2,YES,35.4,8.3,10,YES,YES,NO,NO,NO,,,<5,,88.8,68.8,15.5,25.6,81.2,76.7,44.8,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2322.2,OCallaghan i3 ACAD MS,Regular,86.5,5,YES,58.4,41.8,42.1,YES,YES,NO,NO,NO,59.5,47.3,63.2,>95,,,,,,,20.9,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2323.2,Johnson JHS MS,Regular,51.5,3,YES,49.7,30.3,34.5,YES,YES,NO,NO,NO,49.1,32.3,31.8,81.4,,,,,,,28.4,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2324.2,Greenspun JHS MS,Regular,54.0,3,NO,51.1,31.6,40.8,YES,YES,NO,NO,NO,50.8,34.5,27.9,86.9,,,,,,,23.8,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2325.2,Swainston MS,Regular,20.0,1,YES,22.5,7.8,15.7,YES,YES,YES,NO,NO,22.1,10.6,25.3,73.4,,,,,,,39.7,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2326.2,White MS,Regular,80.0,5,YES,66.8,32.5,54.2,YES,YES,NO,NO,NO,64.6,33.8,49.2,>95,,,,,,,21.2,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2327.2,Becker MS,Regular,51.5,3,YES,45.6,26.6,37.6,YES,YES,NO,NO,NO,47.3,28.2,28.5,93,,,,,,,22.2,NO,,NO,,YES,3.0,64827,Churchill,2023
2023,2,Clark,2328.2,Sawyer MS,Regular,37.5,2,YES,37,17.1,25.9,YES,YES,NO,NO,NO,37.2,22.5,18.7,91.1,,,,,,,29.2,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2329.2,Lyon MS,Regular,62.22,3,NO,50.3,57.2,41.4,NO,NO,YES,YES,NO,50.1,59.6,-,94.4,,,,,,,36.6,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2330.2,West Prep JSHS MS,Regular,17.0,1,YES,20.8,9.7,10.9,YES,YES,NO,NO,NO,22,12.5,11.2,76.3,,,,,,,42,NO,,YES,,NO,,64827,Churchill,2023
2023,2,Clark,2330.3,West Prep JSHS HS,Regular,73.5,4,YES,34.1,18.2,15,YES,YES,NO,NO,NO,,,14.7,,100,88.7,47.8,41,93.9,>95,16.5,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2331.2,Lied STEM ACAD MS,Regular,86.5,5,NO,60.9,50.6,54.2,YES,YES,NO,NO,NO,57.7,51.8,46.8,>95,,,,,,,15.3,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2332.2,Keller MS,Regular,19.0,1,YES,20.8,7.3,21.7,YES,YES,NO,NO,NO,18.6,10.7,14.1,90.1,,,,,,,41.5,NO,,YES,,NO,,64827,Churchill,2023
2023,2,Clark,2333.2,Molasky JHS MS,Regular,22.0,1,YES,24.9,9.5,12.3,YES,YES,NO,NO,NO,23.7,10.1,23.3,77.8,,,,,,,38.2,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2334.2,Silvestri JHS MS,Regular,18.5,1,YES,31.8,16.1,28.2,YES,YES,NO,NO,NO,31.9,17.7,12.6,87.9,,,,,,,34.9,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2335.2,Cortney JHS MS,Regular,17.0,1,YES,21.6,7.5,17.6,NO,NO,YES,NO,NO,21.5,8.6,14.8,78,,,,,,,44.9,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2336.2,Indian Springs MS,Regular,73.33,4,YES,56.5,18.4,69.2,YES,YES,NO,NO,NO,62.8,18.5,-,>95,,,,,,,11.2,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2337.2,Lawrence JHS MS,Regular,43.5,2,YES,40.4,19.3,26.9,YES,YES,YES,YES,NO,42.5,24.8,22.8,89,,,,,,,33,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2338.2,Miller MS,Regular,69.5,3,NO,66,53.6,51.8,YES,YES,YES,YES,NO,64.5,53.3,15.3,>95,,,,,,,19.5,NO,,NO,,YES,3.0,64827,Churchill,2023
2023,2,Clark,2339.2,Rogich MS,Regular,83.0,5,NO,68.7,55.6,52.5,YES,YES,NO,NO,NO,65.9,54.2,40.9,92.3,,,,,,,20.3,NO,,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2341.2,Leavitt MS,Regular,57.5,3,YES,44.1,28.9,37.3,YES,YES,NO,NO,NO,43.4,31.6,40,86.6,,,,,,,14.7,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2342.2,Cram MS,Regular,40.5,2,YES,35.7,21.5,18.3,YES,YES,NO,NO,NO,35.3,24.9,17.8,89.7,,,,,,,18.3,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2343.2,Monaco MS,Regular,36.0,2,YES,23.8,12.8,20.6,YES,YES,NO,NO,NO,28.2,18.9,27.1,73.4,,,,,,,42.8,NO,,YES,,NO,,64827,Churchill,2023
2023,2,Clark,2344.2,Schofield MS,Regular,17.5,1,YES,27.1,15.2,22.3,YES,YES,NO,NO,NO,26.9,16.8,20.5,80,,,,,,,34.4,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2345.2,Sedway MS,Regular,35.5,2,YES,21,8.6,11.1,NO,NO,YES,YES,NO,27.5,15.4,45.4,89.8,,,,,,,42.9,NO,,YES,,NO,,64827,Churchill,2023
2023,2,Clark,2346.2,Harney MS,Regular,15.0,1,YES,23.1,7.5,11.5,YES,YES,YES,YES,NO,24.6,8,12,78.7,,,,,,,40.7,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2347.2,Fertitta MS,Regular,64.5,3,NO,48.8,39.8,40.6,YES,YES,NO,NO,NO,46.5,42.8,30.6,90,,,,,,,14.2,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2348.2,Cadwallader MS,Regular,56.5,3,NO,46.2,38.5,46.7,YES,YES,YES,YES,NO,41.8,40.2,46.1,90.5,,,,,,,20.3,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2349.2,Canarelli MS,Regular,64.0,3,YES,47.9,38.9,44.6,YES,YES,NO,NO,NO,47.6,42.7,35.1,93.8,,,,,,,23.9,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2350.2,Hughes MS,Regular,71.5,4,YES,45.1,30.5,26.5,YES,YES,NO,NO,NO,48.3,37.5,49.2,91.1,,,,,,,21.5,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2352.2,Findlay MS,Regular,14.0,1,YES,20.2,6.6,11.4,YES,YES,NO,NO,NO,20.7,7.6,<5,64.9,,,,,,,43.3,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2353.2,Mannion MS,Regular,76.5,4,NO,61.4,42.5,44.3,YES,YES,YES,NO,NO,60.6,43.4,57.1,94.9,,,,,,,22.4,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2354.2,Saville MS,Regular,37.5,2,NO,38.9,27.8,31.4,YES,YES,NO,NO,NO,37.7,30.6,19.5,88.5,,,,,,,30.2,NO,,NO,,YES,4.0,64827,Churchill,2023
2023,2,Clark,2355.2,Webb MS,Regular,69.5,3,NO,55.9,47.9,48.7,YES,YES,NO,NO,NO,55.6,50.4,44.1,94.5,,,,,,,21.6,NO,,NO,,YES,3.0,64827,Churchill,2023
2023,2,Clark,2356.2,Mack MS,Regular,16.0,1,YES,21.9,9.1,13,YES,YES,NO,NO,NO,23,11.3,10.5,87.3,,,,,,,50.6,YES,5.0,NO,,NO,,64827,Churchill,2023
2023,2,Clark,2357.2,Bailey MS,Regular,20.0,1,YES,20.3,7.4,19.3,YES,YES,NO,NO,NO,22.3,14,13.2,61.8,,,,,,,52,NO,,YES,,NO,,64827,Churchill,2023
